hh_identifier,settlement_name,characterisation_date,enumerator,kitchen_scale_number,type_of_settlement,transparent_bag,wood_leaves,cardboard_paper,plastic_bottles,plastic_bags,other_plastics,clothes_textiles,rubber,others
156,Naperi,2022-11-04,Stanly,3,Formal,0.027,5.455,2.001,0.572,1.587,0.864,,,
121,Naperi,2022-11-04,Thandizo,3,Formal,0.027,,1.523,0.427,0.211,0.237,2.01,,
130,Naperi,2022-11-04,Thandizo,3,Formal,0.027,1.717,0.348,,0.52,0.098,,,
165,Naperi,2022-11-04,Thandizo,3,Formal,0.027,4.003,,0.297,0.097,0.26,,,
132,Naperi,2022-11-04,Stanly,3,Formal,0.027,1.608,1.467,0.746,1.555,0.322,1.498,,
150,Naperi,2022-11-04,Caron,3,Formal,0.027,2.001,,,0.088,,,,
177,Naperi,2022-11-04,Caron,3,Formal,0.027,2.006,,,0.046,,,,
152,Naperi,2022-11-04,Stanly,3,Formal,0.027,2.002,,0.357,0.421,0.071,0.3,,
137,Naperi,2022-11-04,Stanly,3,Formal,0.027,1.907,0.086,0.463,0.14,0.059,0.566,,
123,Naperi,2022-11-04,Thandizo,3,Formal,0.027,1.578,0.144,0.654,0.172,0.066,0.108,,0.451
74,Ndirande,2012-10-30,Mabvuto,4,Informal,0.019,0.183,0.912,0.091,0.423,0.071,0.207,,0.046
82,Namiwawa,2022-10-30,Thandizo,4,Formal,0.019,0.761,0.423,0.049,0.143,,,,
77,Ndirande,2022-10-30,Mabvuto,4,Informal,0.019,,0.201,0.32,0.264,0.297,0.297,,
58,Ndirande,2022-10-30,Stanly,4,Informal,0.019,0.093,0.24,0.927,0.296,,0.608,,0.084
93,Namiwawa,2022-10-30,Stanly,4,Formal,0.019,4.81,0.241,0.039,,0.13,,,
52,Ndirande,2022-10-30,Stanly,4,Informal,0.019,,,0.038,0.041,0.084,0.103,,
91,Namiwawa,2022-10-29,Stanly,4,Formal,0.019,3.529,2.888,0.471,2.113,0.851,1.991,0.421,
4,Ndirande,2022-10-30,Mabvuto,4,Informal,0.019,0.745,0.142,0.471,0.651,,0.364,,
51,Ndirande,2022-10-30,Stanly,4,Informal,0.016,0.664,,,0.034,,0.028,0.03,
75,Ndirande,2022-10-30,Mabvuto,4,Informal,0.016,0.419,0.115,0.119,0.217,,,,
71,Ndirande,2022-10-30,Mabvuto,4,Informal,0.016,0.476,0.211,0.062,0.205,,0.31,,
60,Ndirande,2022-10-30,Mabvuto,4,Informal,0.016,1.313,,0.071,0.219,0.159,0.06,,
72,Ndirande,2022-10-30,Mabvuto,4,Informal,0.016,,0.072,,0.368,0.072,,,
55,Ndirande,2022-10-30,Stanly,4,Informal,0.016,,0.21,0.447,0.236,0.076,0.691,,
54,Ndirande,2022-10-30,Stanly,4,Informal,0.016,0.924,0.312,0.022,1.177,0.234,0.077,,
34,Namiwawa,2022-10-29,Thandizo,4,Formal,0.016,,0.106,0.668,0.049,0.089,0.019,,
22,Namiwawa,2022-10-29,Thandizo,4,Formal,0.016,1.742,,0.423,0.112,0.343,0.271,,0.05
31,Namiwawa,2022-10-29,Thandizo,4,Formal,0.016,0.843,1.274,0.444,0.529,0.274,0.884,0.02,
2,Ndirande,2022-10-30,Mabvuto,4,Informal,0.016,0.258,0.333,0.202,0.13,0.491,0.737,0.094,0.017
192,Kachere,2022-11-03,Stanly,4,Informal,0.028,0.072,0.14,0.098,0.165,0.054,0.144,,
235,Kachere,2022-11-03,Thandizo,4,Informal,0.028,0.95,0.094,0.301,0.39,0.112,0.082,,
184,Kachere,2022-11-03,Mabvuto,4,Informal,0.028,2.008,0.857,,0.374,0.678,0.04,,0.182
233,Kachere,2022-11-03,Thandizo,4,Informal,0.028,2.003,0.108,0.079,0.165,0.176,,,
209,Kachere,2022-11-03,Thandizo,4,Informal,0.028,0.8,0.283,0.315,0.422,0.196,0.333,,
224,Kachere,2022-11-03,Stanly,4,Informal,0.028,0.348,0.059,0.069,,0.042,,,
205,Kachere,2022-11-03,Thandizo,4,Informal,0.028,1.445,0.199,0.111,0.163,0.144,0.039,,
194,Kachere,2022-11-03,Stanly,4,Informal,0.028,0.345,0.643,0.135,0.119,,0.298,,
215,Kachere,2022-11-03,Caron,4,Informal,0.028,0.184,0.797,0.145,0.113,,,,0.177
211,Kachere,2022-11-03,Caron,4,Informal,0.028,0.585,0.914,0.103,0.122,0.815,,,
452,Sunnyside,2022-11-23,Emmanuel,4,Formal,0.016,,,,,,,,
478,Sunnyside,2022-11-23,Stanly,4,Formal,0.016,7.208,,,,0.028,,,
465,Sunnyside,2022-11-23,Thandizo,4,Formal,0.016,8.827,,,,,,0.025,
422,Sunnyside,2022-11-23,Emmanuel,4,Formal,0.016,8.372,0.105,,,0.104,,,
432,Sunnyside,2022-11-23,Emmanuel,4,Formal,0.016,,0.782,0.241,,0.301,0.112,,
446,Sunnyside,2022-11-23,Thandizo,4,Formal,0.016,0.511,0.856,0.464,,0.028,,,
443,Sunnyside,2022-11-23,Thandizo,4,Formal,0.016,8.86,,,,,,,
470,Sunnyside,2022-11-23,Thandizo,4,Formal,0.016,3.386,,,,0.089,,,
256,Bangwe,2022-11-11,Stanly,4,Informal,0.037,8.108,0.242,0.117,0.238,0.385,,,
300,Bangwe,2022-11-11,Mabvuto,4,Informal,0.037,2.001,0.156,,0.121,0.235,0.506,,
291,Bangwe,2022-11-11,Thandizo,4,Informal,0.037,,0.203,0.384,0.085,0.11,0.744,,
293,Bangwe,2022-11-11,Thandizo,4,Informal,0.037,2.002,0.043,,0.163,0.043,,,
285,Bangwe,2022-11-11,Mabvuto,4,Informal,0.037,2.001,0.07,,0.227,,0.076,,
281,Bangwe,2022-11-11,Mabvuto,3,Informal,0.037,0.823,,,0.055,0.057,0.635,,
271,Bangwe,2022-11-11,Stanly,3,Informal,0.037,0.272,0.072,0.09,0.29,0.108,0.085,,
282,Bangwe,2022-11-11,Mabvuto,3,Informal,0.037,5.8,,,0.138,,,,
276,Bangwe,2022-11-11,Mabvuto,3,Informal,0.037,,2.001,0.049,,0.089,0.063,,
273,Bangwe,2022-11-11,Stanly,3,Informal,0.037,1.779,0.182,,0.147,,,,
370,Chirimba,2022-11-18,Stanly,4,Informal,0.015,1.036,0.14,,0.265,0.196,,,
380,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,1.043,1.118,,0.503,0.076,0.357,,
303,Chirimba,2022-11-18,Stanly,4,Informal,0.015,0.943,0.549,,,0.4,,,
316,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,1.276,,,p.248,0.075,,,
301,Chirimba,2022-11-18,Stanly,4,Informal,0.015,,0.444,0.687,0.19,0.278,1.033,,
366,Chirimba,2022-11-18,Stanly,4,Informal,0.015,3.834,0.082,0.068,0.111,,,,
337,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,3.809,0.346,,,0.246,0.415,,
312,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,0.145,0.219,0.293,0.181,0.129,1.105,,
338,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,7.218,0.105,0.168,,0.164,,,
364,Chirimba,2022-11-18,Stanly,4,Informal,0.015,1.254,0.16,0.14,0.179,0.093,0.032,0.049,
