"today";"start";"end";"interviewer";"locat";"gender";"wmanagement";"price";"price_per";"religion";"occupation";"income";"males";"females";"daily_waste";"wastecat";"disposal";"disposal/1";"disposal/2";"disposal/3";"disposal/4";"disposal/5";"disposal/6";"disposal/8";"disposal/9";"disposal/10";"disposal/11";"disposal/12";"disposal/13";"disposal/14";"burn_often";"burn_time";"why_burn";"why_burn/1";"why_burn/2";"why_burn/3";"why_burn/4";"why_burn/5";"why_burn/6";"why_burn/7";"why_burn/8";"why_burn/9";"why_burn/99";"why_burn/88";"cooking";"cooking_specify";"cook_place";"times_cook";"vehicles";"ti";"timee";"waste";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2023-06-05";"2023-06-05 10:07:45.856000+02:00";"2023-06-05 15:34:21.832000+02:00";"2";"4";"1";"8";"40000";"4";"1";"8";"40000";"0";"1";"2.0";"2";"3 10 2";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"10:13:00.000+02:00";"1 6 7";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"88";"Electricity";"2";"3";"3";"2";"2";"1";"243596593";"f5ce0ee3-bd5b-4b4b-9444-878703ab3539";"2023-06-05 14:31:04";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"1"
"2023-06-05";"2023-06-05 10:30:33.576000+02:00";"2023-06-05 15:46:56.220000+02:00";"2";"4";"1";"8";"50000";"4";"2";"8";"50000";"1";"1";"3.0";"2";"2 3 10";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"18:35:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"88";"Gas";"1";"3";"3";"4";"2";"1";"243596596";"7b55f96b-2bda-4bc5-936b-8cd5197adc6a";"2023-06-05 14:31:04";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"2"
"2023-06-05";"2023-06-05 10:47:05.661000+02:00";"2023-06-05 15:51:08.091000+02:00";"2";"4";"0";"8";"70000";"4";"1";"8";"700000";"5";"1";"2.0";"2";"2 3 10";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"5";"10:55:00.000+02:00";"1 6 2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"";"2";"2";"4";"2";"2";"0";"243596600";"c5737706-6292-4f29-91bd-c482d3910195";"2023-06-05 14:31:05";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"3"
"2023-06-05";"2023-06-05 11:02:26.852000+02:00";"2023-06-05 15:53:47.299000+02:00";"2";"4";"1";"8";"50000";"4";"1";"8";"900000";"2";"1";"3.0";"2";"3 10 2";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"08:06:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"88";"Electricity";"1";"2";"2";"2";"2";"0";"243596606";"e24f81b0-4dcd-4745-b520-f496efe01fd9";"2023-06-05 14:31:06";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"4"
"2023-06-05";"2023-06-05 11:12:31.070000+02:00";"2023-06-05 15:55:57.167000+02:00";"2";"4";"0";"8";"35000";"4";"1";"8";"750000";"7";"3";"1.0";"2";"2 10";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"4";"2";"2";"0";"243596608";"d3dc78f7-ad32-4f54-95d2-4c7d57e34ad8";"2023-06-05 14:31:06";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"5"
"2023-06-05";"2023-06-05 11:24:03.417000+02:00";"2023-06-05 15:57:47.176000+02:00";"2";"4";"1";"8";"60000";"4";"1";"8";"980000";"3";"2";"1.0";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"Electricity";"1";"3";"0";"0";"0";"0";"243596611";"5cba1f10-b859-45ea-a87b-d60b6faffc2b";"2023-06-05 14:31:07";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"6"
"2023-06-05";"2023-06-05 11:37:48.902000+02:00";"2023-06-05 16:01:46.882000+02:00";"2";"4";"0";"8";"45000";"4";"1";"8";"1500000";"3";"1";"2.0";"2";"2 3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"20:48:00.000+02:00";"6 1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"88";"Electricity";"1";"3";"2";"6";"2";"1";"243596614";"1ed64d55-4106-4c78-ba18-9836e8dae100";"2023-06-05 14:31:07";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"7"
"2023-06-05";"2023-06-05 11:51:26.776000+02:00";"2023-06-05 16:08:18.434000+02:00";"2";"4";"1";"8";"50000";"4";"1";"7";"920000";"2";"1";"5.0";"2";"3 2 10";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"16:01:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"";"2";"1";"5";"9";"2";"1";"243596618";"ae2b2e9e-ee13-4b38-aab6-27439accdb93";"2023-06-05 14:31:08";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"8"
"2023-06-05";"2023-06-05 12:12:46.342000+02:00";"2023-06-05 16:10:55.512000+02:00";"2";"4";"1";"8";"60000";"4";"1";"7";"650000";"1";"0";"1.0";"2";"3 10";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"16:14:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"";"2";"2";"0";"0";"0";"1";"243596623";"3596957a-b758-4bb8-840f-bbfc42abf7be";"2023-06-05 14:31:09";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"9"
"2023-06-05";"2023-06-05 12:23:07.358000+02:00";"2023-06-05 16:12:49.089000+02:00";"2";"4";"1";"8";"19500";"4";"1";"8";"875000";"1";"1";"6.0";"2";"3 2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"09:26:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"";"2";"1";"0";"0";"0";"1";"243596628";"073f2e37-0779-44fd-a6b2-84813f556ece";"2023-06-05 14:31:09";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"10"
