today,kitchen_scale_number,settlement_name,hh_identifier,transparent_bag,wood_leaves,cardboard_paper,plastic_bottles,plastic_bags,other_plastics,clothes_textiles,rubber,others,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2023-06-14,1,Namiwawa,16,0.021,4.775,,,,,,,,245831249,6c2b3996-9475-403d-b019-0b74af90ae5d,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,1
2023-06-14,1,Namiwawa,19,0.021,6.15,0.047,0.072,0.59,0.139,,,,245831252,b3f601f2-39b5-4d63-9d52-eff36ee95f3b,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,2
2023-06-14,1,Namiwawa,26,0.021,3.251,,,,,,,,245831261,b0a6ad06-c9e1-4147-a589-26eb46619da1,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,3
2023-06-14,1,Namiwawa,68,0.021,5.978,4.421,,3.447,,,2.115,,245831267,ad31126c-0cae-432d-9f84-ee5dfb6c9172,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,4
2023-06-14,1,Namiwawa,71,0.021,6.012,0.505,1.02,0.08,,,,,245831270,ac13b7cf-dabe-4465-a2ab-763e3a903552,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,5
2023-06-14,1,Namiwawa,67,0.021,3.364,,,,0.031,,,,245831274,af397b0a-3a4b-4e28-8faf-56337ccff618,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,6
2023-06-14,1,Namiwawa,75,0.021,,4.288,0.4,0.965,0.156,0.38,,,245831278,259d218f-1a29-4a73-b80b-e38615256928,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,7
2023-06-14,1,Namiwawa,22,0.021,2.272,0.004,5.447,0.159,0.074,0.3,,,245831282,768a3ea7-6357-4199-9b3f-b3b29df2cc19,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,8
2023-06-14,1,Namiwawa,70,0.021,1.584,1.127,,,0.079,,,,245831290,6d1b22f4-4b53-43f1-9554-4bcc744e8559,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,9
2023-06-14,1,Namiwawa,60,0.021,7.998,0.272,0.56,,0.058,,,,245831296,d0d644ba-c0f4-44cf-86e8-0f347679af4e,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,10
2023-06-14,1,Ndirande,40,0.021,4.47,,0.069,,0.083,0.254,,,245831300,effa03d7-b640-4778-8781-9d21047001ad,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,11
2023-06-14,1,Ndirande,38,0.021,2.038,0.61,0.202,0.299,0.409,2.342,,,245831304,f9ec28ee-7c50-4b14-bfcf-bf37cdbdbb72,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,12
2023-06-14,1,Ndirande,103,0.021,3.175,0.448,0.567,1.042,0.065,0.682,,,245831308,561c0cdd-8c3e-42bb-9ac6-426ac15124d6,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,13
2023-06-14,1,Ndirande,39,0.021,2.743,0.08,,0.209,0.109,0.102,,,245831315,f72cd0c4-ad45-401c-87bb-8ac31a403099,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,14
2023-06-14,1,Ndirande,93,0.021,5.764,0.43,,,0.126,0.127,,,245831318,91d063b6-cfed-4994-8510-2abf23baabd2,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,15
2023-06-14,1,Ndirande,96,0.021,6.003,,0.111,0.255,,,,,245831320,433b83c7-dc85-43f3-8bce-7e4440cc41a5,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,16
2023-06-14,1,Ndirande,98,0.021,3.333,0.275,0.099,0.9,0.249,,,,245831325,3715aa2b-b947-45a2-a5e8-f1e93f36649e,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,17
2023-06-14,1,Ndirande,91,0.021,8.911,0.372,0.056,0.449,0.441,,,,245831334,d7eb8117-d78f-4b62-919c-aaaa49687adc,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,18
2023-06-14,1,Ndirande,44,0.021,2.85,0.085,0.043,,,,,,245831340,923c919f-5bec-4cda-8754-7396fbdbbe23,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,19
2023-06-14,1,Ndirande,37,0.018,2.293,0.531,0.149,0.183,,,,,246755455,fe283ec1-c676-4847-9bb5-350fc13b1583,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,68
2023-06-14,1,Chirimba,152,0.021,1.189,0.07,,3.888,,0.041,,,245831344,b377c8f6-a821-40f9-9962-a89c3ccc2eb1,6/14/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,20
2023-06-15,1,Naperi,79,0.02,12.306,,,,0.026,,,0.019,246755365,ff656a0f-443e-4676-a2a0-7c737f34bd62,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,21
2023-06-15,1,Naperi,82,0.02,,4.512,,,,,,,246755366,041ac050-44ea-42c5-aa96-cc9e6506cdf7,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,22
2023-06-15,1,Naperi,78,0.02,7.374,0.268,,0.062,0.048,,,,246755369,a9356b85-0a78-4a69-90d9-f79fdea2c246,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,23
2023-06-15,1,Naperi,81,0.02,3.522,0.7,,2.283,,,,,246755371,986797f1-86a5-4169-9d98-b4d944114424,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,24
2023-06-15,1,Naperi,1,0.02,6.114,,0.046,,,,,0.028,246755372,4ff6f8eb-d1fb-4fec-b96e-1c1446cdf4c3,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,25
2023-06-15,1,Naperi,5,0.02,4.652,,,,,,,,246755373,bca38ccd-ef9f-411b-941f-c72c6db71192,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,26
2023-06-15,1,Naperi,13,0.02,0.799,,,,,,,,246755374,972fdc62-de53-4072-a269-7375f24955f7,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,27
2023-06-15,1,Naperi,9,0.02,5.085,0.028,0.4,0.077,0.098,0.089,,,246755375,8404dac8-eb69-46b4-a082-54ab526dc593,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,28
